"lhs","rhs","support","confidence","lift","sales","recommendation","profit","mark"
"  42度海之蓝  ","  香酥两吃大虾 ",0.0107181136120043,0.588235294117647,3.11831550802139,0,0,0,0
" 咖啡奶香面包  ","  谷稻小庄  ",0.0107181136120043,0.526315789473684,2.06324635117205,0,0,0,0
" 哈尔滨啤酒罐装  ","  麻辣小龙虾 ",0.0171489817792069,0.551724137931034,2.41670713938805,0,0,0,0
" 芹菜炒腰花  ","  自制猪肉脯 ",0.0610932475884244,0.508928571428571,3.54351012793177,0,0,0,0
" 芹菜炒腰花  ","  焖猪手 ",0.0653804930332262,0.544642857142857,2.93729355904211,0,0,0,0
" 芹菜炒腰花  ","  凉拌菠菜 ",0.0696677384780279,0.580357142857143,2.02042244136461,0,0,0,0
" 蒙古烤羊腿   ","  凉拌菠菜 ",0.082529474812433,0.509933774834437,1.77525452209153,0,0,0,0
" 打卤面,水煮鱼  ","  谷稻小庄  ",0.0107181136120043,0.769230769230769,3.01551389786684,0,0,0,0
" 打卤面,谷稻小庄   ","  水煮鱼 ",0.0107181136120043,0.555555555555556,3.21946169772257,0,0,0,0
" 清爽拌凉面,鱼香肉丝拌面  ","  水煮鱼 ",0.0107181136120043,0.769230769230769,4.45771619684663,0,0,0,0
" 水煮鱼,鱼香肉丝拌面  ","  清爽拌凉面 ",0.0107181136120043,0.555555555555556,6.82017543859649,0,0,0,0
" 水煮鱼,鱼香肉丝拌面  ","  五色糯米饭(七色) ",0.0107181136120043,0.555555555555556,2.84798534798535,0,0,0,0
" 五色糯米饭(七色),鱼香肉丝拌面  ","  水煮鱼 ",0.0107181136120043,0.666666666666667,3.86335403726708,0,0,0,0
" 水煮鱼,鱼香肉丝拌面  ","  辣炒鱿鱼 ",0.0117899249732047,0.611111111111111,3.03280141843972,0,0,0,0
" 辣炒鱿鱼,鱼香肉丝拌面  ","  水煮鱼 ",0.0117899249732047,0.785714285714286,4.55323868677906,0,0,0,0
" 水煮鱼,鱼香肉丝拌面  ","  谷稻小庄  ",0.0117899249732047,0.611111111111111,2.39565826330532,0,0,0,0
" 谷稻小庄 ,鱼香肉丝拌面  ","  水煮鱼 ",0.0117899249732047,0.611111111111111,3.54140786749482,0,0,0,0
" 辣炒鱿鱼,鱼香肉丝拌面  ","  谷稻小庄  ",0.0107181136120043,0.714285714285714,2.80012004801921,0,0,0,0
" 谷稻小庄 ,鱼香肉丝拌面  ","  辣炒鱿鱼 ",0.0107181136120043,0.555555555555556,2.75709219858156,0,0,0,0
" 蛋挞,芝麻烤紫菜  ","  蒙古烤羊腿  ",0.0107181136120043,0.5,3.08940397350993,0,0,0,0
" 蛋挞,芝麻烤紫菜  ","  凉拌菠菜 ",0.0117899249732047,0.55,1.91473880597015,0,0,0,0
